locale,profile,text,state,layout,width,height,outside_pixels
en_US,compact,normal,legacy,large-normal,292.0,311.0,0
en_US,compact,XXXL,legacy,rows-XXXL,146.0,146.0,0
en_US,compact,XXXL,legacy,chart-XXXL,146.0,146.0,0
en_US,compact,XXXL,legacy,medium-XXXL,292.0,146.0,0
en_US,compact,XXXL,legacy,large-XXXL,292.0,311.0,0
en_US,compact,AX5,legacy,rows-AX5,146.0,146.0,0
en_US,compact,AX5,legacy,chart-AX5,146.0,146.0,0
en_US,compact,AX5,legacy,medium-AX5,292.0,146.0,0
en_US,compact,AX5,legacy,large-AX5,292.0,311.0,0
es_ES,compact,normal,future,small-rows,146.0,146.0,0
es_ES,compact,normal,future,small-ISS,146.0,146.0,0
es_ES,compact,normal,future,small-Tiangong,146.0,146.0,0
es_ES,compact,normal,future,medium,292.0,146.0,0
es_ES,compact,normal,future,large-ISS,292.0,311.0,0
es_ES,compact,normal,future,large-Tiangong,292.0,311.0,0
es_ES,narrow,normal,future,small-rows,158.0,158.0,0
es_ES,narrow,normal,future,small-ISS,158.0,158.0,0
es_ES,narrow,normal,future,small-Tiangong,158.0,158.0,0
es_ES,narrow,normal,future,medium,338.0,158.0,0
es_ES,narrow,normal,future,large-ISS,338.0,354.0,0
es_ES,narrow,normal,future,large-Tiangong,338.0,354.0,0
es_ES,regular,normal,future,small-rows,170.0,170.0,0
es_ES,regular,normal,future,small-ISS,170.0,170.0,0
es_ES,regular,normal,future,small-Tiangong,170.0,170.0,0
es_ES,regular,normal,future,medium,364.0,170.0,0
es_ES,regular,normal,future,large-ISS,364.0,382.0,0
es_ES,regular,normal,future,large-Tiangong,364.0,382.0,0
es_ES,wide,normal,future,small-rows,180.0,180.0,0
es_ES,wide,normal,future,small-ISS,180.0,180.0,0
es_ES,wide,normal,future,small-Tiangong,180.0,180.0,0
es_ES,wide,normal,future,medium,382.0,180.0,0
es_ES,wide,normal,future,large-ISS,382.0,402.0,0
es_ES,wide,normal,future,large-Tiangong,382.0,402.0,0
es_ES,compact,XXXL,future,small-rows,146.0,146.0,0
es_ES,compact,XXXL,future,small-ISS,146.0,146.0,0
es_ES,compact,XXXL,future,small-Tiangong,146.0,146.0,0
es_ES,compact,XXXL,future,medium,292.0,146.0,0
es_ES,compact,XXXL,future,large-ISS,292.0,311.0,0
es_ES,compact,XXXL,future,large-Tiangong,292.0,311.0,0
es_ES,narrow,XXXL,future,small-rows,158.0,158.0,0
es_ES,narrow,XXXL,future,small-ISS,158.0,158.0,0
es_ES,narrow,XXXL,future,small-Tiangong,158.0,158.0,0
es_ES,narrow,XXXL,future,medium,338.0,158.0,0
es_ES,narrow,XXXL,future,large-ISS,338.0,354.0,0
es_ES,narrow,XXXL,future,large-Tiangong,338.0,354.0,0
es_ES,regular,XXXL,future,small-rows,170.0,170.0,0
es_ES,regular,XXXL,future,small-ISS,170.0,170.0,0
es_ES,regular,XXXL,future,small-Tiangong,170.0,170.0,0
es_ES,regular,XXXL,future,medium,364.0,170.0,0
es_ES,regular,XXXL,future,large-ISS,364.0,382.0,0
es_ES,regular,XXXL,future,large-Tiangong,364.0,382.0,0
es_ES,wide,XXXL,future,small-rows,180.0,180.0,0
es_ES,wide,XXXL,future,small-ISS,180.0,180.0,0
es_ES,wide,XXXL,future,small-Tiangong,180.0,180.0,0
es_ES,wide,XXXL,future,medium,382.0,180.0,0
es_ES,wide,XXXL,future,large-ISS,382.0,402.0,0
es_ES,wide,XXXL,future,large-Tiangong,382.0,402.0,0
es_ES,compact,AX5,future,small-rows,146.0,146.0,0
es_ES,compact,AX5,future,small-ISS,146.0,146.0,0
